Field,Date,FIBBG000B9XRY4
Close,2023-11-07,181.3494
Close,2023-11-08,182.4166
Close,2023-11-09,181.9378
Close,2023-11-10,186.1624
Close,2023-11-13,184.5645
Close,2023-11-14,187.2011
Close,2023-11-15,187.7704
Close,2023-11-16,189.4682
Close,2023-11-17,189.4483
Close,2023-11-20,191.206
Close,2023-11-21,190.397
Close,2023-11-22,191.0662
Close,2023-11-24,189.7279
Close,2023-11-27,189.5481
Close,2023-11-28,190.1573
Close,2023-11-29,189.1287
Close,2023-11-30,189.7079
Close,2023-12-01,190.9963
Close,2023-12-04,189.1886
Close,2023-12-05,193.1735
Close,2023-12-06,192.0749
Close,2023-12-07,194.0224
Close,2023-12-08,195.4606
Close,2023-12-11,192.9338
Close,2023-12-12,194.4619
Close,2023-12-13,197.7077
Close,2023-12-14,197.8575
Close,2023-12-15,197.3182
Close,2023-12-18,195.6404
Close,2023-12-19,196.689
Close,2023-12-20,194.5817
Close,2023-12-21,194.4319
Close,2023-12-22,193.3533
Close,2023-12-26,192.804
Close,2023-12-27,192.9038
Close,2023-12-28,193.3333
Close,2023-12-29,192.2846
